"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3","1","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C4","1","47n box","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","",""
"4","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3, D4, D5","3","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"6","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"7","J2, J3, J4, J5, J6, J7, J8, J9","8","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"8","J10, J12, J14","3","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"9","J11, J13, J15","3","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","",""
"10","Q3, Q4","2","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"11","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"12","R3, R9","2","1M","Resistor_SMD:R_0805_2012Metric","","",""
"13","R4","1","1.2M","Resistor_SMD:R_0805_2012Metric","","",""
"14","R5, R6, R12","3","22K","Resistor_SMD:R_0805_2012Metric","","",""
"15","R7","1","220","Resistor_SMD:R_0805_2012Metric","","",""
"16","R8","1","100K","Resistor_SMD:R_0805_2012Metric","","",""
"17","R10","1","10K","Resistor_SMD:R_0805_2012Metric","","",""
"18","R11","1","220K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R13, R14, R15, R16, R17, R18, R19","7","1K","Resistor_SMD:R_0805_2012Metric","","",""
"20","U1","1","4040","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","","Mouser","595-CD4040BPWR"
